"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0.6,0,0,0,0,587,0,0,1,0,0,0,0,1,0,0,15000,0.015,0.999312415004106
"2",0.8,0,0,0,0,586,1,0,1,0,0,0,0,1,0,0,15600,0.0156,0.999284864444834
"3",0.7,0,0,0,0,579,0,0,1,1,0,0,0,1,0,0,16000,0.016,0.999266495387597
"4",0.7,0,0,0,0,578,1,0,1,1,0,0,0,1,0,0,16600,0.0166,0.999238938774802
"5",0.7,0,0,0,0,547,0,0,1,1,0,1,0,1,0,0,17600,0.0176,0.999193003013793
